#    L    TT             EE             BB             TE          
   298   0.169424E+01   0.231194E-01   0.109908E-01  -0.230134E-01
   299   0.164744E+01   0.230544E-01   0.108931E-01  -0.193893E-01
   300   0.160395E+01   0.229784E-01   0.107952E-01  -0.158205E-01
   301   0.156384E+01   0.228913E-01   0.106971E-01  -0.123133E-01
   302   0.152703E+01   0.227934E-01   0.105989E-01  -0.886945E-02
   303   0.149345E+01   0.226851E-01   0.105005E-01  -0.548966E-02
   304   0.146301E+01   0.225666E-01   0.104022E-01  -0.217471E-02
   305   0.143561E+01   0.224383E-01   0.103039E-01   0.107463E-02
   306   0.141116E+01   0.223006E-01   0.102057E-01   0.425763E-02
   307   0.138958E+01   0.221539E-01   0.101076E-01   0.737352E-02
   308   0.137078E+01   0.219984E-01   0.100098E-01   0.104215E-01
   309   0.135466E+01   0.218346E-01   0.991216E-02   0.134009E-01
   310   0.134114E+01   0.216628E-01   0.981488E-02   0.163110E-01
   311   0.133013E+01   0.214833E-01   0.971797E-02   0.191509E-01
   312   0.132153E+01   0.212965E-01   0.962148E-02   0.219199E-01
   313   0.131526E+01   0.211028E-01   0.952549E-02   0.246173E-01
   314   0.131123E+01   0.209024E-01   0.943004E-02   0.272423E-01
   315   0.130935E+01   0.206959E-01   0.933518E-02   0.297941E-01
   316   0.130953E+01   0.204834E-01   0.924098E-02   0.322721E-01
   317   0.131167E+01   0.202654E-01   0.914749E-02   0.346754E-01
   318   0.131570E+01   0.200422E-01   0.905477E-02   0.370033E-01
   319   0.132151E+01   0.198142E-01   0.896287E-02   0.392550E-01
   320   0.132903E+01   0.195816E-01   0.887185E-02   0.414298E-01
   321   0.133816E+01   0.193450E-01   0.878177E-02   0.435269E-01
   322   0.134881E+01   0.191046E-01   0.869268E-02   0.455456E-01
   323   0.136089E+01   0.188607E-01   0.860464E-02   0.474851E-01
   324   0.137431E+01   0.186138E-01   0.851770E-02   0.493446E-01
   325   0.138898E+01   0.183642E-01   0.843193E-02   0.511235E-01
   326   0.140482E+01   0.181122E-01   0.834737E-02   0.528209E-01
   327   0.142173E+01   0.178582E-01   0.826409E-02   0.544361E-01
   328   0.143962E+01   0.176025E-01   0.818213E-02   0.559684E-01
   329   0.145841E+01   0.173455E-01   0.810157E-02   0.574169E-01
   330   0.147800E+01   0.170876E-01   0.802244E-02   0.587809E-01
   331   0.149830E+01   0.168290E-01   0.794482E-02   0.600598E-01
   332   0.151923E+01   0.165702E-01   0.786875E-02   0.612526E-01
   333   0.154070E+01   0.163115E-01   0.779429E-02   0.623588E-01
   334   0.156261E+01   0.160532E-01   0.772150E-02   0.633774E-01
   335   0.158488E+01   0.157958E-01   0.765044E-02   0.643078E-01
   336   0.160741E+01   0.155395E-01   0.758115E-02   0.651492E-01
   337   0.163012E+01   0.152847E-01   0.751371E-02   0.659008E-01
   338   0.165292E+01   0.150318E-01   0.744815E-02   0.665620E-01
   339   0.167571E+01   0.147811E-01   0.738455E-02   0.671318E-01
   340   0.169841E+01   0.145330E-01   0.732295E-02   0.676097E-01
   341   0.172094E+01   0.142878E-01   0.726342E-02   0.679947E-01
   342   0.174318E+01   0.140459E-01   0.720600E-02   0.682863E-01
   343   0.176507E+01   0.138076E-01   0.715075E-02   0.684835E-01
   344   0.178651E+01   0.135732E-01   0.709774E-02   0.685858E-01
   345   0.180741E+01   0.133432E-01   0.704702E-02   0.685922E-01
   346   0.182767E+01   0.131179E-01   0.699864E-02   0.685021E-01
   347   0.184722E+01   0.128977E-01   0.695266E-02   0.683147E-01
   348   0.186596E+01   0.126828E-01   0.690913E-02   0.680292E-01
   349   0.188380E+01   0.124736E-01   0.686812E-02   0.676449E-01
   350   0.190065E+01   0.122706E-01   0.682968E-02   0.671610E-01
   351   0.191644E+01   0.120739E-01   0.679384E-02   0.665776E-01
   352   0.193117E+01   0.118836E-01   0.676055E-02   0.658975E-01
   353   0.194484E+01   0.116996E-01   0.672974E-02   0.651244E-01
   354   0.195748E+01   0.115220E-01   0.670133E-02   0.642619E-01
   355   0.196910E+01   0.113505E-01   0.667526E-02   0.633136E-01
   356   0.197971E+01   0.111852E-01   0.665144E-02   0.622833E-01
   357   0.198933E+01   0.110259E-01   0.662980E-02   0.611746E-01
   358   0.199796E+01   0.108727E-01   0.661028E-02   0.599911E-01
   359   0.200563E+01   0.107255E-01   0.659279E-02   0.587365E-01
   360   0.201235E+01   0.105842E-01   0.657726E-02   0.574145E-01
   361   0.201813E+01   0.104488E-01   0.656362E-02   0.560286E-01
   362   0.202298E+01   0.103191E-01   0.655180E-02   0.545826E-01
   363   0.202693E+01   0.101952E-01   0.654172E-02   0.530800E-01
   364   0.202998E+01   0.100770E-01   0.653330E-02   0.515246E-01
   365   0.203214E+01   0.996438E-02   0.652648E-02   0.499200E-01
   366   0.203344E+01   0.985735E-02   0.652118E-02   0.482698E-01
   367   0.203389E+01   0.975582E-02   0.651733E-02   0.465777E-01
   368   0.203349E+01   0.965973E-02   0.651485E-02   0.448473E-01
   369   0.203227E+01   0.956904E-02   0.651367E-02   0.430823E-01
   370   0.203023E+01   0.948368E-02   0.651371E-02   0.412864E-01
   371   0.202740E+01   0.940358E-02   0.651491E-02   0.394631E-01
   372   0.202379E+01   0.932870E-02   0.651718E-02   0.376162E-01
   373   0.201940E+01   0.925897E-02   0.652046E-02   0.357493E-01
   374   0.201425E+01   0.919434E-02   0.652468E-02   0.338660E-01
   375   0.200837E+01   0.913474E-02   0.652974E-02   0.319701E-01
   376   0.200176E+01   0.908011E-02   0.653560E-02   0.300650E-01
   377   0.199443E+01   0.903041E-02   0.654216E-02   0.281546E-01
   378   0.198640E+01   0.898557E-02   0.654936E-02   0.262424E-01
   379   0.197768E+01   0.894552E-02   0.655712E-02   0.243321E-01
   380   0.196830E+01   0.891022E-02   0.656537E-02   0.224274E-01
   381   0.195825E+01   0.887960E-02   0.657404E-02   0.205318E-01
   382   0.194756E+01   0.885360E-02   0.658305E-02   0.186491E-01
   383   0.193624E+01   0.883217E-02   0.659233E-02   0.167829E-01
   384   0.192431E+01   0.881525E-02   0.660180E-02   0.149369E-01
   385   0.191177E+01   0.880277E-02   0.661139E-02   0.131146E-01
   386   0.189864E+01   0.879468E-02   0.662103E-02   0.113198E-01
   387   0.188494E+01   0.879093E-02   0.663065E-02   0.955610E-02
   388   0.187068E+01   0.879144E-02   0.664016E-02   0.782715E-02
   389   0.185587E+01   0.879617E-02   0.664950E-02   0.613660E-02
   390   0.184053E+01   0.880505E-02   0.665859E-02   0.448811E-02
   391   0.182467E+01   0.881802E-02   0.666737E-02   0.288532E-02
