#    L    TT             EE             BB             TE             PP             TP             EP          
   183   0.532027E+04   0.814693E+00   0.153047E-01  -0.333689E+02   0.626047E-07   0.166791E-03  -0.658825E-06
   184   0.534185E+04   0.803663E+00   0.150507E-01  -0.325166E+02   0.622770E-07   0.165438E-03  -0.644520E-06
   185   0.536294E+04   0.792929E+00   0.148090E-01  -0.316380E+02   0.619521E-07   0.164099E-03  -0.630157E-06
   186   0.538354E+04   0.782512E+00   0.145795E-01  -0.307335E+02   0.616298E-07   0.162772E-03  -0.615739E-06
   187   0.540364E+04   0.772444E+00   0.143618E-01  -0.298031E+02   0.613102E-07   0.161458E-03  -0.601270E-06
   188   0.542323E+04   0.762765E+00   0.141558E-01  -0.288470E+02   0.609931E-07   0.160156E-03  -0.586755E-06
   189   0.544230E+04   0.753507E+00   0.139612E-01  -0.278655E+02   0.606787E-07   0.158866E-03  -0.572199E-06
   190   0.546086E+04   0.744704E+00   0.137778E-01  -0.268587E+02   0.603669E-07   0.157589E-03  -0.557604E-06
   191   0.547888E+04   0.736389E+00   0.136053E-01  -0.258270E+02   0.600575E-07   0.156323E-03  -0.542975E-06
   192   0.549636E+04   0.728597E+00   0.134435E-01  -0.247704E+02   0.597507E-07   0.155068E-03  -0.528316E-06
   193   0.551329E+04   0.721362E+00   0.132921E-01  -0.236892E+02   0.594464E-07   0.153825E-03  -0.513632E-06
   194   0.552967E+04   0.714720E+00   0.131509E-01  -0.225839E+02   0.591445E-07   0.152592E-03  -0.498926E-06
   195   0.554550E+04   0.708708E+00   0.130197E-01  -0.214545E+02   0.588451E-07   0.151371E-03  -0.484203E-06
   196   0.556076E+04   0.703360E+00   0.128981E-01  -0.203017E+02   0.585480E-07   0.150160E-03  -0.469466E-06
   197   0.557547E+04   0.698716E+00   0.127861E-01  -0.191255E+02   0.582533E-07   0.148959E-03  -0.454720E-06
   198   0.558962E+04   0.694810E+00   0.126832E-01  -0.179265E+02   0.579610E-07   0.147769E-03  -0.439968E-06
   199   0.560318E+04   0.691680E+00   0.125894E-01  -0.167048E+02   0.576710E-07   0.146588E-03  -0.425216E-06
   200   0.561618E+04   0.689360E+00   0.125042E-01  -0.154610E+02   0.573834E-07   0.145418E-03  -0.410467E-06
   201   0.562860E+04   0.687890E+00   0.124276E-01  -0.141952E+02   0.570979E-07   0.144256E-03  -0.395724E-06
   202   0.564042E+04   0.687305E+00   0.123591E-01  -0.129081E+02   0.568148E-07   0.143104E-03  -0.380989E-06
   203   0.565164E+04   0.687640E+00   0.122987E-01  -0.115999E+02   0.565339E-07   0.141962E-03  -0.366263E-06
   204   0.566225E+04   0.688933E+00   0.122460E-01  -0.102711E+02   0.562552E-07   0.140828E-03  -0.351547E-06
   205   0.567222E+04   0.691220E+00   0.122007E-01  -0.892201E+01   0.559786E-07   0.139704E-03  -0.336841E-06
   206   0.568157E+04   0.694536E+00   0.121626E-01  -0.755314E+01   0.557043E-07   0.138589E-03  -0.322147E-06
   207   0.569027E+04   0.698918E+00   0.121315E-01  -0.616481E+01   0.554321E-07   0.137482E-03  -0.307464E-06
   208   0.569833E+04   0.704402E+00   0.121070E-01  -0.475760E+01   0.551621E-07   0.136385E-03  -0.292795E-06
   209   0.570577E+04   0.711024E+00   0.120889E-01  -0.333205E+01   0.548942E-07   0.135296E-03  -0.278139E-06
   210   0.571257E+04   0.718821E+00   0.120770E-01  -0.188869E+01   0.546284E-07   0.134216E-03  -0.263498E-06
   211   0.571875E+04   0.727830E+00   0.120710E-01  -0.428072E+00   0.543646E-07   0.133145E-03  -0.248873E-06
   212   0.572431E+04   0.738084E+00   0.120706E-01   0.104926E+01   0.541030E-07   0.132082E-03  -0.234263E-06
