#    L    TT             EE             BB             TE          
   275   0.487422E+04   0.514210E+01   0.397743E-01   0.989696E+02
   276   0.484528E+04   0.527955E+01   0.398737E-01   0.100119E+03
   277   0.481602E+04   0.541902E+01   0.399702E-01   0.101240E+03
   278   0.478645E+04   0.556050E+01   0.400641E-01   0.102334E+03
   279   0.475658E+04   0.570394E+01   0.401553E-01   0.103400E+03
   280   0.472642E+04   0.584933E+01   0.402439E-01   0.104437E+03
   281   0.469599E+04   0.599663E+01   0.403301E-01   0.105446E+03
   282   0.466528E+04   0.614580E+01   0.404139E-01   0.106425E+03
   283   0.463432E+04   0.629683E+01   0.404953E-01   0.107373E+03
   284   0.460311E+04   0.644968E+01   0.405745E-01   0.108291E+03
   285   0.457166E+04   0.660432E+01   0.406514E-01   0.109177E+03
   286   0.453998E+04   0.676070E+01   0.407263E-01   0.110032E+03
   287   0.450809E+04   0.691879E+01   0.407992E-01   0.110855E+03
   288   0.447599E+04   0.707856E+01   0.408701E-01   0.111646E+03
   289   0.444370E+04   0.723996E+01   0.409391E-01   0.112404E+03
   290   0.441122E+04   0.740295E+01   0.410064E-01   0.113128E+03
   291   0.437857E+04   0.756751E+01   0.410719E-01   0.113819E+03
   292   0.434576E+04   0.773352E+01   0.411358E-01   0.114476E+03
   293   0.431279E+04   0.790103E+01   0.411982E-01   0.115099E+03
   294   0.427967E+04   0.806999E+01   0.412590E-01   0.115686E+03
   295   0.424642E+04   0.824023E+01   0.413185E-01   0.116239E+03
   296   0.421304E+04   0.841183E+01   0.413767E-01   0.116756E+03
   297   0.417954E+04   0.858464E+01   0.414336E-01   0.117236E+03
   298   0.414593E+04   0.875867E+01   0.414894E-01   0.117679E+03
   299   0.411223E+04   0.893384E+01   0.415441E-01   0.118087E+03
   300   0.407844E+04   0.911007E+01   0.415978E-01   0.118458E+03
   301   0.404457E+04   0.928743E+01   0.416506E-01   0.118791E+03
   302   0.401065E+04   0.946572E+01   0.417026E-01   0.119088E+03
   303   0.397668E+04   0.964499E+01   0.417538E-01   0.119347E+03
   304   0.394267E+04   0.982517E+01   0.418043E-01   0.119570E+03
   305   0.390864E+04   0.100062E+02   0.418540E-01   0.119755E+03
   306   0.387458E+04   0.101881E+02   0.419032E-01   0.119903E+03
   307   0.384053E+04   0.103706E+02   0.419518E-01   0.120012E+03
   308   0.380648E+04   0.105539E+02   0.419999E-01   0.120084E+03
   309   0.377245E+04   0.107378E+02   0.420475E-01   0.120119E+03
   310   0.373843E+04   0.109221E+02   0.420947E-01   0.120115E+03
   311   0.370446E+04   0.111070E+02   0.421417E-01   0.120073E+03
   312   0.367052E+04   0.112924E+02   0.421883E-01   0.119993E+03
   313   0.363664E+04   0.114781E+02   0.422347E-01   0.119874E+03
   314   0.360283E+04   0.116640E+02   0.422810E-01   0.119718E+03
   315   0.356908E+04   0.118502E+02   0.423272E-01   0.119523E+03
   316   0.353542E+04   0.120366E+02   0.423733E-01   0.119289E+03
   317   0.350185E+04   0.122230E+02   0.424195E-01   0.119018E+03
   318   0.346840E+04   0.124095E+02   0.424658E-01   0.118709E+03
   319   0.343505E+04   0.125959E+02   0.425122E-01   0.118361E+03
   320   0.340182E+04   0.127823E+02   0.425589E-01   0.117976E+03
   321   0.336873E+04   0.129685E+02   0.426058E-01   0.117553E+03
   322   0.333578E+04   0.131545E+02   0.426531E-01   0.117092E+03
   323   0.330298E+04   0.133401E+02   0.427008E-01   0.116594E+03
   324   0.327034E+04   0.135254E+02   0.427490E-01   0.116059E+03
   325   0.323787E+04   0.137102E+02   0.427977E-01   0.115486E+03
   326   0.320558E+04   0.138945E+02   0.428470E-01   0.114876E+03
   327   0.317348E+04   0.140783E+02   0.428970E-01   0.114229E+03
   328   0.314157E+04   0.142613E+02   0.429478E-01   0.113545E+03
   329   0.310986E+04   0.144436E+02   0.429994E-01   0.112826E+03
   330   0.307838E+04   0.146251E+02   0.430518E-01   0.112071E+03
   331   0.304711E+04   0.148058E+02   0.431052E-01   0.111279E+03
   332   0.301607E+04   0.149855E+02   0.431597E-01   0.110451E+03
   333   0.298527E+04   0.151642E+02   0.432152E-01   0.109589E+03
   334   0.295472E+04   0.153418E+02   0.432719E-01   0.108691E+03
   335   0.292442E+04   0.155183E+02   0.433297E-01   0.107759E+03
   336   0.289439E+04   0.156935E+02   0.433889E-01   0.106793E+03
   337   0.286462E+04   0.158674E+02   0.434495E-01   0.105793E+03
   338   0.283513E+04   0.160400E+02   0.435115E-01   0.104760E+03
   339   0.280593E+04   0.162112E+02   0.435750E-01   0.103695E+03
   340   0.277703E+04   0.163809E+02   0.436401E-01   0.102597E+03
   341   0.274843E+04   0.165490E+02   0.437069E-01   0.101467E+03
   342   0.272013E+04   0.167155E+02   0.437754E-01   0.100305E+03
   343   0.269214E+04   0.168802E+02   0.438457E-01   0.991124E+02
   344   0.266446E+04   0.170431E+02   0.439178E-01   0.978881E+02
   345   0.263710E+04   0.172041E+02   0.439920E-01   0.966331E+02
   346   0.261007E+04   0.173632E+02   0.440681E-01   0.953474E+02
   347   0.258336E+04   0.175202E+02   0.441463E-01   0.940317E+02
   348   0.255699E+04   0.176750E+02   0.442268E-01   0.926860E+02
   349   0.253096E+04   0.178278E+02   0.443094E-01   0.913127E+02
   350   0.250529E+04   0.179783E+02   0.443944E-01   0.899108E+02
   351   0.247997E+04   0.181266E+02   0.444818E-01   0.884819E+02
   352   0.245502E+04   0.182726E+02   0.445715E-01   0.870268E+02
   353   0.243044E+04   0.184162E+02   0.446634E-01   0.855454E+02
   354   0.240624E+04   0.185575E+02   0.447577E-01   0.840400E+02
   355   0.238243E+04   0.186962E+02   0.448541E-01   0.825097E+02
   356   0.235900E+04   0.188325E+02   0.449526E-01   0.809555E+02
   357   0.233596E+04   0.189662E+02   0.450532E-01   0.793780E+02
   358   0.231332E+04   0.190972E+02   0.451558E-01   0.777779E+02
   359   0.229108E+04   0.192254E+02   0.452604E-01   0.761554E+02
   360   0.226923E+04   0.193508E+02   0.453669E-01   0.745118E+02
   361   0.224779E+04   0.194733E+02   0.454753E-01   0.728461E+02
   362   0.222676E+04   0.195929E+02   0.455855E-01   0.711603E+02
   363   0.220614E+04   0.197095E+02   0.456974E-01   0.694548E+02
   364   0.218593E+04   0.198230E+02   0.458111E-01   0.677303E+02
   365   0.216615E+04   0.199335E+02   0.459264E-01   0.659878E+02
   366   0.214678E+04   0.200408E+02   0.460433E-01   0.642279E+02
   367   0.212785E+04   0.201449E+02   0.461617E-01   0.624514E+02
   368   0.210933E+04   0.202457E+02   0.462817E-01   0.606591E+02
   369   0.209125E+04   0.203434E+02   0.464030E-01   0.588517E+02
